,0
0,148.8
1,149.0
2,149.2
3,149.4
4,149.6
5,149.8
6,150.0
7,150.2
8,150.4
9,150.6
10,150.8
11,151.0
12,151.2
13,151.4
14,151.6
15,151.8
16,152.0
17,152.2
18,152.4
19,152.6
20,152.8
21,153.0
22,153.2
23,153.4
24,153.6
25,153.8
26,154.0
27,154.2
28,154.4
29,154.6
30,154.8
31,155.0
32,155.2
33,155.4
34,155.6
35,155.8
36,156.0
37,156.2
38,156.4
39,156.6
40,156.8
41,157.0
42,157.2
43,157.4
44,157.6
45,157.8
46,158.0
47,158.2
48,158.4
49,158.6
50,158.8
51,159.0
52,159.2
53,159.4
54,159.6
55,159.8
56,160.0
57,160.2
58,160.4
59,160.6
60,160.8
61,161.0
62,161.2
63,161.4
64,161.6
65,161.8
66,162.0
67,162.2
68,162.4
69,162.6
70,162.8
71,163.0
72,163.2
73,163.4
74,163.6
75,163.8
76,164.0
77,164.2
78,164.4
79,164.6
80,164.8
81,165.0
82,165.2
83,165.4
84,165.6
85,165.8
86,166.0
87,166.2
88,166.4
89,166.6
90,166.8
91,167.0
92,167.2
93,167.4
94,167.6
95,167.8
96,168.0
97,168.2
98,168.4
99,168.6
100,168.8
101,169.0
102,169.2
103,169.4
104,169.6
105,169.8
106,170.0
107,170.2
108,170.4
109,170.6
110,170.8
111,171.0
112,171.2
113,171.4
114,171.6
115,171.8
116,172.0
117,172.2
118,172.4
119,172.6
120,172.8
121,173.0
122,173.2
123,173.4
124,173.6
125,173.8
126,174.0
127,174.2
128,174.4
129,174.6
130,174.8
131,175.0
132,175.2
133,175.4
134,175.6
135,175.8
136,176.0
137,176.2
138,176.4
139,176.6
140,176.8
141,177.0
142,177.2
143,177.4
144,177.6
145,177.8
146,178.0
147,178.2
148,178.4
149,178.6
150,178.8
151,179.0
152,179.2
153,179.4
154,179.6
155,179.8
156,180.0
157,180.2
158,180.4
159,180.6
160,180.8
161,181.0
162,181.2
163,181.4
164,181.6
165,181.8
166,182.0
167,182.2
168,182.4
169,182.6
170,182.8
171,183.0
172,183.2
173,183.4
174,183.6
175,183.8
176,184.0
177,184.2
178,184.4
179,184.6
180,184.8
181,185.0
182,185.2
183,185.4
184,185.6
185,185.8
186,186.0
187,186.2
188,186.4
189,186.6
190,186.8
191,187.0
192,187.2
193,187.4
194,187.6
195,187.8
196,188.0
197,188.2
198,188.4
199,188.6
200,188.8
201,189.0
202,189.2
203,189.4
204,189.6
205,189.8
206,190.0
207,190.2
208,190.4
209,190.6
210,190.8
211,191.0
212,191.2
213,191.4
214,191.6
215,191.8
216,192.0
217,192.2
218,192.4
219,192.6
220,192.8
221,193.0
222,193.2
223,193.4
224,193.6
225,193.8
226,194.0
227,194.2
228,194.4
229,194.6
230,194.8
231,195.0
232,195.2
233,195.4
234,195.6
235,195.8
236,196.0
237,196.2
238,196.4
239,196.6
240,196.8
241,197.0
242,197.2
243,197.4
244,197.6
245,197.8
246,198.0
247,198.2
248,198.4
249,198.6
250,198.8
251,199.0
252,199.2
253,199.4
254,199.6
255,199.8
256,200.0
257,200.2
258,200.4
259,200.6
260,200.8
261,201.0
262,201.2
263,201.4
264,201.6
265,201.8
266,202.0
267,202.2
268,202.4
269,202.6
270,202.8
271,203.0
272,203.2
273,203.4
274,203.6
275,203.8
276,204.0
277,204.2
278,204.4
279,204.6
280,204.8
281,205.0
282,205.2
283,205.4
284,205.6
285,205.8
286,206.0
287,206.2
288,206.4
289,206.6
290,206.8
291,207.0
292,207.2
293,207.4
294,207.6
295,207.8
296,208.0
297,208.2
298,208.4
299,208.6
300,208.8
301,209.0
302,209.2
303,209.4
304,209.6
305,209.8
306,210.0
307,210.2
308,210.4
309,210.6
310,210.8
311,211.0
312,211.2
313,211.4
314,211.6
315,211.8
316,212.0
317,212.2
318,212.4
319,212.6
320,212.8
321,213.0
322,213.2
323,213.4
324,213.6
325,213.8
326,214.0
327,214.2
328,214.4
329,214.6
330,214.8
331,215.0
332,215.2
333,215.4
334,215.6
335,215.8
336,216.0
337,216.2
338,216.4
339,216.6
340,216.8
341,217.0
342,217.2
343,217.4
344,217.6
345,217.8
346,218.0
347,218.2
348,218.4
349,218.6
350,218.8
351,219.0
352,219.2
353,219.4
354,219.6
355,219.8
356,220.0
357,220.2
358,220.4
359,220.6
360,220.8
361,221.0
362,221.2
363,221.4
364,221.6
365,221.8
366,222.0
367,222.2
368,222.4
369,222.6
370,222.8
371,223.0
372,223.2
373,223.4
374,223.6
375,223.8
376,224.0
377,224.2
378,224.4
379,224.6
380,224.8
381,225.0
382,225.2
383,225.4
384,225.6
385,225.8
386,226.0
387,226.2
388,226.4
389,226.6
390,226.8
391,227.0
392,227.2
393,227.4
394,227.6
395,227.8
396,228.0
397,228.2
398,228.4
399,228.6
400,228.8
401,229.0
402,229.2
403,229.4
404,229.6
405,229.8
406,230.0
407,230.2
408,230.4
409,230.6
410,230.8
411,231.0
412,231.2
413,231.4
414,231.6
415,231.8
416,232.0
417,232.2
418,232.4
419,232.6
420,232.8
421,233.0
422,233.2
423,233.4
424,233.6
425,233.8
426,234.0
427,234.2
428,234.4
429,234.6
430,234.8
431,235.0
432,235.2
433,235.4
434,235.6
435,235.8
436,236.0
437,236.2
438,236.4
439,236.6
440,236.8
441,237.0
442,237.2
443,237.4
444,237.6
445,237.8
446,238.0
447,238.2
448,238.4
449,238.6
450,238.8
451,239.0
452,239.2
453,239.4
454,239.6
455,239.8
456,240.0
457,240.2
458,240.4
459,240.6
460,240.8
461,241.0
462,241.2
463,241.4
464,241.6
465,241.8
466,242.0
467,242.2
468,242.4
469,242.6
470,242.8
471,243.0
472,243.2
473,243.4
474,243.6
475,243.8
476,244.0
477,244.2
478,244.4
479,244.6
480,244.8
481,245.0
482,245.2
483,245.4
484,245.6
485,245.8
486,246.0
487,246.2
488,246.4
489,246.6
490,246.8
491,247.0
492,247.2
493,247.4
494,247.6
495,247.8
496,248.0
497,248.2
498,248.4
499,248.6
500,248.8
501,249.0
502,249.2
503,249.4
504,249.6
505,249.8
506,250.0
507,250.2
508,250.4
509,250.6
510,250.8
511,251.0
512,251.2
513,251.4
514,251.6
515,251.8
516,252.0
517,252.2
518,252.4
519,252.6
520,252.8
521,253.0
522,253.2
523,253.4
524,253.6
525,253.8
526,254.0
527,254.2
528,254.4
529,254.6
530,254.8
531,255.0
532,255.2
533,255.4
534,255.6
535,255.8
536,256.0
537,256.2
538,256.4
539,256.6
540,256.8
541,257.0
542,257.2
543,257.4
544,257.6
545,257.8
546,258.0
547,258.2
548,258.4
549,258.6
550,258.8
551,259.0
552,259.2
553,259.4
554,259.6
555,259.8
556,260.0
557,260.2
558,260.4
559,260.6
560,260.8
561,261.0
562,261.2
563,261.4
564,261.6
565,261.8
566,262.0
567,262.2
568,262.4
569,262.6
570,262.8
571,263.0
572,263.2
573,263.4
574,263.6
575,263.8
576,264.0
577,264.2
578,264.4
579,264.6
580,264.8
581,265.0
582,265.2
583,265.4
584,265.6
585,265.8
586,266.0
587,266.2
588,266.4
589,266.6
590,266.8
591,267.0
592,267.2
593,267.4
594,267.6
595,267.8
596,268.0
597,268.2
598,268.4
599,268.6
600,268.8
601,269.0
602,269.2
603,269.4
604,269.6
605,269.8
606,270.0
607,270.2
608,270.4
609,270.6
610,270.8
611,271.0
612,271.2
613,271.4
614,271.6
615,271.8
616,272.0
617,272.2
618,272.4
619,272.6
620,272.8
621,273.0
622,273.2
623,273.4
624,273.6
625,273.8
626,274.0
627,274.2
628,274.4
629,274.6
630,274.8
631,275.0
632,275.2
633,275.4
634,275.6
635,275.8
636,276.0
637,276.2
638,276.4
639,276.6
640,276.8
641,277.0
642,277.2
643,277.4
644,277.6
645,277.8
646,278.0
647,278.2
648,278.4
649,278.6
650,278.8
651,279.0
652,279.2
653,279.4
654,279.6
655,279.8
656,280.0
657,280.2
658,280.4
659,280.6
660,280.8
661,281.0
662,281.2
663,281.4
664,281.6
665,281.8
666,282.0
667,282.2
668,282.4
669,282.6
670,282.8
671,283.0
672,283.2
673,283.4
674,283.6
675,283.8
676,284.0
677,284.2
678,284.4
679,284.6
680,284.8
681,285.0
682,285.2
683,285.4
684,285.6
685,285.8
686,286.0
687,286.2
688,286.4
689,286.6
690,286.8
691,287.0
692,287.2
693,287.4
694,287.6
695,287.8
696,288.0
697,288.2
698,288.4
699,288.6
700,288.8
701,289.0
702,289.2
703,289.4
704,289.6
705,289.8
706,290.0
707,290.2
708,290.4
709,290.6
710,290.8
711,291.0
712,291.2
713,291.4
714,291.6
715,291.8
716,292.0
717,292.2
718,292.4
719,292.6
720,292.8
721,293.0
722,293.2
723,293.4
724,293.6
725,293.8
726,294.0
727,294.2
728,294.4
729,294.6
730,294.8
731,295.0
732,295.2
733,295.4
734,295.6
735,295.8
736,296.0
737,296.2
738,296.4
739,296.6
740,296.8
741,297.0
742,297.2
743,297.4
744,297.6
745,297.8
746,298.0
747,298.2
748,298.4
749,298.6
750,298.8
751,299.0
752,299.2
753,299.4
754,299.6
755,299.8
756,300.0
757,300.2
