,0
0,43.2
1,43.4
2,43.6
3,43.8
4,44.0
5,44.2
6,44.4
7,44.6
8,44.8
9,45.0
10,45.2
11,45.4
12,45.6
13,45.8
14,46.0
15,46.2
16,46.4
17,46.6
18,46.8
19,47.0
20,47.2
21,47.4
22,47.6
23,47.8
24,48.0
25,48.2
26,48.4
27,48.6
28,48.8
29,49.0
30,49.2
31,49.4
32,49.6
33,49.8
34,50.0
35,50.2
36,50.4
37,50.6
38,50.8
39,51.0
40,51.2
41,51.4
42,51.6
43,51.8
44,52.0
45,52.2
46,52.4
47,52.6
48,52.8
49,53.0
50,53.2
51,53.4
52,53.6
53,53.8
54,54.0
55,54.2
56,54.4
57,54.6
58,54.8
59,55.0
60,55.2
61,55.4
62,55.6
63,55.8
64,56.0
65,56.2
66,56.4
67,56.6
68,56.8
69,57.0
70,57.2
71,57.4
72,57.6
73,57.8
74,58.0
75,58.2
76,58.4
77,58.6
78,58.8
79,59.0
80,59.2
81,59.4
82,59.6
83,59.8
84,60.0
85,60.2
86,60.4
87,60.6
88,60.8
89,61.0
90,61.2
91,61.4
92,61.6
93,61.8
94,62.0
95,62.2
96,62.4
97,62.6
98,62.8
99,63.0
100,63.2
101,63.4
102,63.6
103,63.8
104,64.0
105,64.2
106,64.4
107,64.6
108,64.8
109,65.0
110,65.2
111,65.4
112,65.6
113,65.8
114,66.0
115,66.2
116,66.4
117,66.6
118,66.8
119,67.0
120,67.2
121,67.4
122,67.6
123,67.8
124,68.0
125,68.2
126,68.4
127,68.6
128,68.8
129,69.0
130,69.2
131,69.4
132,69.6
133,69.8
134,70.0
135,70.2
136,70.4
137,70.6
138,70.8
139,71.0
140,71.2
141,71.4
142,71.6
143,71.8
144,72.0
145,72.2
146,72.4
147,72.6
148,72.8
149,73.0
150,73.2
151,73.4
152,73.6
153,73.8
154,74.0
155,74.2
156,74.4
157,74.6
158,74.8
159,75.0
160,75.2
161,75.4
162,75.6
163,75.8
164,76.0
165,76.2
166,76.4
167,76.6
168,76.8
169,77.0
170,77.2
171,77.4
172,77.6
173,77.8
174,78.0
175,78.2
176,78.4
177,78.6
178,78.8
179,79.0
180,79.2
181,79.4
182,79.6
183,79.8
184,80.0
185,80.2
186,80.4
187,80.6
188,80.8
189,81.0
190,81.2
191,81.4
192,81.6
193,81.8
194,82.0
195,82.2
196,82.4
197,82.6
198,82.8
199,83.0
200,83.2
201,83.4
